"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Polr3d",1.17927952313621,3.22363662923854,3.31761577949556,0.00583815254246619,0.0139335382875088,-2.40635200722653,TRUE
"Arhgap4",-0.544819968481978,7.05705897381539,-3.74522497461787,0.00261624637574912,0.00728406810410861,-2.41089497144381,FALSE
"Gm44851",1.49930396626898,3.29499954797923,3.31286269248622,0.00589076940683957,0.0140423585383542,-2.41182684872062,TRUE
"Cyb5r4",-0.563202087546314,6.66291801731832,-3.72777619788509,0.00270274100302975,0.00748163599454603,-2.41342621831136,FALSE
"Pgs1",-0.511559486042124,7.63970516678281,-3.75847371622186,0.00255246557180796,0.00715226780191371,-2.41508958819392,FALSE
"Taf1",0.547299560188456,6.45942467166517,3.70636825602403,0.0028128668545102,0.00772500337661573,-2.41855935843426,FALSE
"Plekhb2",0.676356789725605,5.58853873768933,3.63737718384082,0.0031999615758171,0.00857323931900094,-2.41947084897049,FALSE
"Lrrk1",0.923429038493448,4.14081296951295,3.45193408757621,0.00453224842788026,0.0113625783212291,-2.41953026849492,FALSE
"ENSMUSG00000136278",0.884716455967749,4.93538818443765,3.56081840344239,0.00369357192561374,0.00960929281460484,-2.42164029782474,FALSE
"Smarcad1",1.42639982520145,2.97718125031292,3.26760208267363,0.0064163990917591,0.0150366975689357,-2.4230091646646,TRUE
"Cert1",0.537070878884276,7.74247455388944,3.75608366475604,0.00256385284177018,0.00717914691430223,-2.42566100767341,FALSE
"Mtmr10",1.25947110608164,3.21006753748754,3.30256662281495,0.00600639381062349,0.0142924302453861,-2.42593276710686,TRUE
"Nopchap1",0.785627359010362,4.99734728574179,3.56760185157544,0.0036468663401692,0.00950633128750524,-2.42874659565651,FALSE
"4930481A15Rik",-1.19023123099939,2.98469037281471,-3.29494765301013,0.0060934257220327,0.0144736953017404,-2.43101676193862,TRUE
"Eif4ebp1",-1.11218887920202,3.34526406448126,-3.34914993745632,0.00550087778745336,0.0132969990971852,-2.43157593348472,TRUE
"Brd1",0.569474179970078,6.343558380267,3.69085751637203,0.00289551144075061,0.00792350938721623,-2.43384213501238,FALSE
"Dusp11",-0.491308695162613,7.89711916687735,-3.75477676621309,0.00257010144846299,0.00718242021664481,-2.43575923155301,FALSE
"Thbs3",-1.34938183345487,2.55957682283746,-3.23209787925746,0.00686160112504604,0.0158329417364777,-2.43718218094868,TRUE
